Club,Elo,From,To
Tottenham,1730.68017578,2015-08-07,2015-08-08
Tottenham,1725.90551758,2015-08-09,2015-08-15
Tottenham,1723.48876953,2015-08-16,2015-08-18
Tottenham,1724.88464355,2015-08-19,2015-08-20
Tottenham,1723.45666504,2015-08-21,2015-08-21
Tottenham,1723.45666504,2015-08-22,2015-08-22
Tottenham,1722.71777344,2015-08-23,2015-08-26
Tottenham,1724.46838379,2015-08-27,2015-08-27
Tottenham,1719.55212402,2015-08-28,2015-08-29
Tottenham,1717.92028809,2015-08-30,2015-08-30
Tottenham,1717.92028809,2015-08-31,2015-09-12
Tottenham,1717.92028809,2015-09-13,2015-09-13
Tottenham,1723.60925293,2015-09-14,2015-09-15
Tottenham,1716.8404541,2015-09-16,2015-09-16
Tottenham,1713.76782227,2015-09-17,2015-09-17
Tottenham,1717.36218262,2015-09-18,2015-09-18
Tottenham,1717.36218262,2015-09-19,2015-09-20
Tottenham,1722.89428711,2015-09-21,2015-09-23
Tottenham,1722.89428711,2015-09-24,2015-09-26
Tottenham,1741.53442383,2015-09-27,2015-09-27
Tottenham,1741.53442383,2015-09-28,2015-09-29
Tottenham,1735.03686523,2015-09-30,2015-09-30
Tottenham,1739.71484375,2015-10-01,2015-10-01
Tottenham,1740.60351562,2015-10-02,2015-10-04
Tottenham,1739.40917969,2015-10-05,2015-10-17
Tottenham,1737.4942627,2015-10-18,2015-10-20
Tottenham,1742.78076172,2015-10-21,2015-10-21
Tottenham,1745.31213379,2015-10-22,2015-10-22
Tottenham,1729.92028809,2015-10-23,2015-10-23
Tottenham,1729.92028809,2015-10-24,2015-10-25
Tottenham,1739.92297363,2015-10-26,2015-11-02
Tottenham,1743.83764648,2015-11-03,2015-11-03
Tottenham,1749.90405273,2015-11-04,2015-11-04
Tottenham,1749.4387207,2015-11-05,2015-11-05
Tottenham,1755.76635742,2015-11-06,2015-11-08
Tottenham,1759.58557129,2015-11-09,2015-11-22
Tottenham,1767.3729248,2015-11-23,2015-11-24
Tottenham,1770.33349609,2015-11-25,2015-11-25
Tottenham,1766.640625,2015-11-26,2015-11-26
Tottenham,1772.18603516,2015-11-27,2015-11-29
Tottenham,1771.85913086,2015-11-30,2015-12-03
Tottenham,1771.85913086,2015-12-04,2015-12-04
Tottenham,1771.85913086,2015-12-05,2015-12-05
Tottenham,1769.40100098,2015-12-06,2015-12-08
Tottenham,1769.56286621,2015-12-09,2015-12-09
Tottenham,1776.36608887,2015-12-10,2015-12-10
Tottenham,1784.75610352,2015-12-11,2015-12-12
Tottenham,1784.75610352,2015-12-13,2015-12-13
Tottenham,1771.05444336,2015-12-14,2015-12-19
Tottenham,1781.3536377,2015-12-20,2015-12-20
Tottenham,1781.3536377,2015-12-21,2015-12-26
Tottenham,1787.00671387,2015-12-27,2015-12-28
Tottenham,1793.01416016,2015-12-29,2015-12-30
Tottenham,1793.01416016,2015-12-31,2015-12-31
Tottenham,1793.01416016,2016-01-01,2016-01-02
Tottenham,1793.01416016,2016-01-03,2016-01-03
Tottenham,1792.42297363,2016-01-04,2016-01-10
Tottenham,1792.42297363,2016-01-11,2016-01-11
Tottenham,1792.42297363,2016-01-12,2016-01-13
Tottenham,1781.11193848,2016-01-14,2016-01-16
Tottenham,1786.04040527,2016-01-17,2016-01-23
Tottenham,1795.22229004,2016-01-24,2016-02-02
Tottenham,1802.95166016,2016-02-03,2016-02-05
Tottenham,1802.95166016,2016-02-06,2016-02-06
Tottenham,1806.18798828,2016-02-07,2016-02-07
Tottenham,1806.18798828,2016-02-08,2016-02-12
Tottenham,1806.18798828,2016-02-13,2016-02-13
Tottenham,1806.18798828,2016-02-14,2016-02-14
Tottenham,1816.58679199,2016-02-15,2016-02-16
Tottenham,1815.98730469,2016-02-17,2016-02-18
Tottenham,1817.20202637,2016-02-19,2016-02-21
Tottenham,1817.20202637,2016-02-22,2016-02-23
Tottenham,1816.07507324,2016-02-24,2016-02-24
Tottenham,1819.65246582,2016-02-25,2016-02-25
Tottenham,1841.12353516,2016-02-26,2016-02-28
Tottenham,1843.9362793,2016-02-29,2016-03-02
Tottenham,1833.48449707,2016-03-03,2016-03-05
Tottenham,1831.66003418,2016-03-06,2016-03-09
Tottenham,1829.10339355,2016-03-10,2016-03-10
Tottenham,1811.5333252,2016-03-11,2016-03-13
Tottenham,1815.82922363,2016-03-14,2016-03-15
Tottenham,1815.9107666,2016-03-16,2016-03-16
Tottenham,1815.77001953,2016-03-17,2016-03-17
Tottenham,1810.09375,2016-03-18,2016-03-20
Tottenham,1815.62658691,2016-03-21,2016-04-02
Tottenham,1815.74523926,2016-04-03,2016-04-03
Tottenham,1815.74523926,2016-04-04,2016-04-06
Tottenham,1817.36071777,2016-04-07,2016-04-07
Tottenham,1818.70007324,2016-04-08,2016-04-10
Tottenham,1829.08996582,2016-04-11,2016-04-12
Tottenham,1831.66772461,2016-04-13,2016-04-14
Tottenham,1835.2989502,2016-04-15,2016-04-18
Tottenham,1847.09448242,2016-04-19,2016-04-25
Tottenham,1841.0435791,2016-04-26,2016-04-26
Tottenham,1841.37719727,2016-04-27,2016-04-28
Tottenham,1839.99414062,2016-04-29,2016-05-01
Tottenham,1839.99414062,2016-05-02,2016-05-02
Tottenham,1840.38745117,2016-05-03,2016-05-04
Tottenham,1839.08569336,2016-05-05,2016-05-05
Tottenham,1846.47900391,2016-05-06,2016-05-08
Tottenham,1835.07836914,2016-05-09,2016-05-15
Tottenham,1810.39453125,2016-05-16,2016-05-18
Tottenham,1806.72412109,2016-05-19,2016-07-28
Tottenham,1805.58154297,2016-07-29,2016-08-04
Tottenham,1807.02319336,2016-08-05,2016-08-13
Tottenham,1805.57507324,2016-08-14,2016-08-14
Tottenham,1805.57507324,2016-08-15,2016-08-16
Tottenham,1806.86157227,2016-08-17,2016-08-17
Tottenham,1806.86157227,2016-08-18,2016-08-18
Tottenham,1806.85778809,2016-08-19,2016-08-19
Tottenham,1806.85778809,2016-08-20,2016-08-20
Tottenham,1809.74487305,2016-08-21,2016-08-21
Tottenham,1809.74487305,2016-08-22,2016-08-23
Tottenham,1809.74487305,2016-08-24,2016-08-24
Tottenham,1809.76062012,2016-08-25,2016-08-25
Tottenham,1802.67358398,2016-08-26,2016-08-27
Tottenham,1800.76196289,2016-08-28,2016-09-10
Tottenham,1812.81860352,2016-09-11,2016-09-13
Tottenham,1813.97460938,2016-09-14,2016-09-14
Tottenham,1804.28930664,2016-09-15,2016-09-15
Tottenham,1802.62145996,2016-09-16,2016-09-16
Tottenham,1802.62145996,2016-09-17,2016-09-17
Tottenham,1802.62145996,2016-09-18,2016-09-18
Tottenham,1805.73156738,2016-09-19,2016-09-24
Tottenham,1810.03674316,2016-09-25,2016-09-27
Tottenham,1823.42163086,2016-09-28,2016-09-28
Tottenham,1822.64294434,2016-09-29,2016-09-29
Tottenham,1822.07043457,2016-09-30,2016-10-02
Tottenham,1833.70336914,2016-10-03,2016-10-15
Tottenham,1830.23144531,2016-10-16,2016-10-16
Tottenham,1830.23144531,2016-10-17,2016-10-18
Tottenham,1833.15112305,2016-10-19,2016-10-19
Tottenham,1832.26989746,2016-10-20,2016-10-20
Tottenham,1830.96728516,2016-10-21,2016-10-22
Tottenham,1827.34191895,2016-10-23,2016-10-29
Tottenham,1824.8013916,2016-10-30,2016-10-30
Tottenham,1824.8013916,2016-10-31,2016-11-01
Tottenham,1830.16052246,2016-11-02,2016-11-02
Tottenham,1814.38928223,2016-11-03,2016-11-03
Tottenham,1812.56774902,2016-11-04,2016-11-06
Tottenham,1815.75756836,2016-11-07,2016-11-19
Tottenham,1819.15087891,2016-11-20,2016-11-22
Tottenham,1811.19165039,2016-11-23,2016-11-23
Tottenham,1810.09680176,2016-11-24,2016-11-24
Tottenham,1808.88781738,2016-11-25,2016-11-26
Tottenham,1803.0300293,2016-11-27,2016-12-03
Tottenham,1810.50366211,2016-12-04,2016-12-06
Tottenham,1810.96252441,2016-12-07,2016-12-07
Tottenham,1813.65515137,2016-12-08,2016-12-08
Tottenham,1813.92724609,2016-12-09,2016-12-11
Tottenham,1806.6907959,2016-12-12,2016-12-14
Tottenham,1809.99890137,2016-12-15,2016-12-18
Tottenham,1812.70751953,2016-12-19,2016-12-28
Tottenham,1826.25891113,2016-12-29,2017-01-01
Tottenham,1834.33251953,2017-01-02,2017-01-04
Tottenham,1844.88208008,2017-01-05,2017-01-07
Tottenham,1844.88208008,2017-01-08,2017-01-14
Tottenham,1851.0546875,2017-01-15,2017-01-21
Tottenham,1852.40368652,2017-01-22,2017-01-29
Tottenham,1852.40368652,2017-01-30,2017-01-31
Tottenham,1847.30273438,2017-02-01,2017-02-04
Tottenham,1849.27038574,2017-02-05,2017-02-05
Tottenham,1849.27038574,2017-02-06,2017-02-11
Tottenham,1839.23547363,2017-02-12,2017-02-15
Tottenham,1836.39819336,2017-02-16,2017-02-16
Tottenham,1831.27954102,2017-02-17,2017-02-21
Tottenham,1833.60180664,2017-02-22,2017-02-22
Tottenham,1834.33508301,2017-02-23,2017-02-23
Tottenham,1813.44238281,2017-02-24,2017-02-24
Tottenham,1813.44238281,2017-02-25,2017-02-25
Tottenham,1813.44238281,2017-02-26,2017-02-26
Tottenham,1820.43713379,2017-02-27,2017-03-05
Tottenham,1825.07580566,2017-03-06,2017-03-07
Tottenham,1824.0838623,2017-03-08,2017-03-09
Tottenham,1824.59448242,2017-03-10,2017-03-14
Tottenham,1830.74987793,2017-03-15,2017-03-15
Tottenham,1825.66320801,2017-03-16,2017-03-16
Tottenham,1827.1550293,2017-03-17,2017-03-18
Tottenham,1827.1550293,2017-03-19,2017-03-19
Tottenham,1830.85766602,2017-03-20,2017-04-01
Tottenham,1837.9083252,2017-04-02,2017-04-05
Tottenham,1844.08886719,2017-04-06,2017-04-08
Tottenham,1848.44152832,2017-04-09,2017-04-12
Tottenham,1848.0255127,2017-04-13,2017-04-13
Tottenham,1848.48828125,2017-04-14,2017-04-15
Tottenham,1852.39782715,2017-04-16,2017-04-18
Tottenham,1851.86303711,2017-04-19,2017-04-20
Tottenham,1853.33178711,2017-04-21,2017-04-23
Tottenham,1853.33178711,2017-04-24,2017-04-26
Tottenham,1858.53088379,2017-04-27,2017-04-30
Tottenham,1865.50634766,2017-05-01,2017-05-03
Tottenham,1865.50634766,2017-05-04,2017-05-04
Tottenham,1867.26184082,2017-05-05,2017-05-05
Tottenham,1856.04321289,2017-05-06,2017-05-07
Tottenham,1856.04321289,2017-05-08,2017-05-11
Tottenham,1856.14367676,2017-05-12,2017-05-14
Tottenham,1862.22631836,2017-05-15,2017-05-18
Tottenham,1877.10009766,2017-05-19,2017-05-20
Tottenham,1877.10009766,2017-05-21,2017-05-21
Tottenham,1884.43127441,2017-05-22,2017-05-24
Tottenham,1887.17651367,2017-05-25,2017-07-27
Tottenham,1887.18969727,2017-07-28,2017-08-03
Tottenham,1887.51184082,2017-08-04,2017-08-13
Tottenham,1892.57995605,2017-08-14,2017-08-15
Tottenham,1895.19580078,2017-08-16,2017-08-17
Tottenham,1896.36523438,2017-08-18,2017-08-20
Tottenham,1886.75793457,2017-08-21,2017-08-23
Tottenham,1888.31665039,2017-08-24,2017-08-24
Tottenham,1888.61120605,2017-08-25,2017-08-27
Tottenham,1881.32067871,2017-08-28,2017-09-09
Tottenham,1893.43334961,2017-09-10,2017-09-12
Tottenham,1894.80615234,2017-09-13,2017-09-13
Tottenham,1905.04858398,2017-09-14,2017-09-14
Tottenham,1902.21179199,2017-09-15,2017-09-16
Tottenham,1894.90026855,2017-09-17,2017-09-20
Tottenham,1894.90026855,2017-09-21,2017-09-23
Tottenham,1899.0300293,2017-09-24,2017-09-26
Tottenham,1908.18322754,2017-09-27,2017-09-27
Tottenham,1915.9777832,2017-09-28,2017-09-28
Tottenham,1914.37438965,2017-09-29,2017-09-30
Tottenham,1918.12854004,2017-10-01,2017-10-14
Tottenham,1919.72839355,2017-10-15,2017-10-17
Tottenham,1931.20471191,2017-10-18,2017-10-18
Tottenham,1931.62390137,2017-10-19,2017-10-19
Tottenham,1929.18395996,2017-10-20,2017-10-22
Tottenham,1937.29553223,2017-10-23,2017-10-28
Tottenham,1930.39465332,2017-10-29,2017-10-31
Tottenham,1927.62158203,2017-11-01,2017-11-01
Tottenham,1947.23022461,2017-11-02,2017-11-02
Tottenham,1941.8972168,2017-11-03,2017-11-04
Tottenham,1941.8972168,2017-11-05,2017-11-05
Tottenham,1943.14880371,2017-11-06,2017-11-18
Tottenham,1931.00695801,2017-11-19,2017-11-21
Tottenham,1939.65332031,2017-11-22,2017-11-22
Tottenham,1936.8458252,2017-11-23,2017-11-23
Tottenham,1926.29541016,2017-11-24,2017-11-25
Tottenham,1918.50769043,2017-11-26,2017-11-28
Tottenham,1906.75134277,2017-11-29,2017-12-02
Tottenham,1901.87158203,2017-12-03,2017-12-05
Tottenham,1901.90136719,2017-12-06,2017-12-06
Tottenham,1903.49536133,2017-12-07,2017-12-07
Tottenham,1907.37231445,2017-12-08,2017-12-09
Tottenham,1911.36169434,2017-12-10,2017-12-13
Tottenham,1913.42431641,2017-12-14,2017-12-16
Tottenham,1904.73693848,2017-12-17,2017-12-23
Tottenham,1912.75268555,2017-12-24,2017-12-26
Tottenham,1916.21044922,2017-12-27,2017-12-30
Tottenham,1916.21044922,2017-12-31,2018-01-02
Tottenham,1920.13647461,2018-01-03,2018-01-04
Tottenham,1912.85400391,2018-01-05,2018-01-13
Tottenham,1917.61804199,2018-01-14,2018-01-20
Tottenham,1917.61804199,2018-01-21,2018-01-21
Tottenham,1912.26281738,2018-01-22,2018-01-31
Tottenham,1921.82104492,2018-02-01,2018-02-04
Tottenham,1922.38574219,2018-02-05,2018-02-10
Tottenham,1926.84240723,2018-02-11,2018-02-13
Tottenham,1935.04772949,2018-02-14,2018-02-14
Tottenham,1939.08898926,2018-02-15,2018-02-15
Tottenham,1939.65466309,2018-02-16,2018-02-18
Tottenham,1939.65466309,2018-02-19,2018-02-20
Tottenham,1939.44396973,2018-02-21,2018-02-21
Tottenham,1939.35717773,2018-02-22,2018-02-22
Tottenham,1939.20910645,2018-02-23,2018-02-25
Tottenham,1942.26574707,2018-02-26,2018-03-03
Tottenham,1943.68664551,2018-03-04,2018-03-04
Tottenham,1943.68664551,2018-03-05,2018-03-06
Tottenham,1943.27990723,2018-03-07,2018-03-07
Tottenham,1923.05981445,2018-03-08,2018-03-08
Tottenham,1926.31481934,2018-03-09,2018-03-11
Tottenham,1932.5324707,2018-03-12,2018-03-13
Tottenham,1926.80688477,2018-03-14,2018-03-14
Tottenham,1924.80249023,2018-03-15,2018-03-15
Tottenham,1925.90588379,2018-03-16,2018-04-01
Tottenham,1936.53393555,2018-04-02,2018-04-05
Tottenham,1940.12426758,2018-04-06,2018-04-07
Tottenham,1942.55249023,2018-04-08,2018-04-12
Tottenham,1942.84851074,2018-04-13,2018-04-14
Tottenham,1930.30310059,2018-04-15,2018-04-17
Tottenham,1923.98657227,2018-04-18,2018-04-22
Tottenham,1923.98657227,2018-04-23,2018-04-24
Tottenham,1927.02880859,2018-04-25,2018-04-26
Tottenham,1926.34741211,2018-04-27,2018-04-29
Tottenham,1926.34741211,2018-04-30,2018-04-30
Tottenham,1928.4666748,2018-05-01,2018-05-02
Tottenham,1927.55651855,2018-05-03,2018-05-03
Tottenham,1926.00280762,2018-05-04,2018-05-05
Tottenham,1911.85742188,2018-05-06,2018-05-09
Tottenham,1913.70910645,2018-05-10,2018-05-13
Tottenham,1916.0246582,2018-05-14,2018-05-26
Tottenham,1913.50280762,2018-05-27,2018-07-26
Tottenham,1913.52050781,2018-07-27,2018-08-02
Tottenham,1914.44775391,2018-08-03,2018-08-09
Tottenham,1914.84887695,2018-08-10,2018-08-11
Tottenham,1918.74829102,2018-08-12,2018-08-12
Tottenham,1918.74829102,2018-08-13,2018-08-16
Tottenham,1921.48999023,2018-08-17,2018-08-18
Tottenham,1923.53234863,2018-08-19,2018-08-23
Tottenham,1919.77722168,2018-08-24,2018-08-27
Tottenham,1934.61889648,2018-08-28,2018-08-30
Tottenham,1932.13452148,2018-08-31,2018-09-02
Tottenham,1918.99401855,2018-09-03,2018-09-15
Tottenham,1909.80651855,2018-09-16,2018-09-18
Tottenham,1897.82165527,2018-09-19,2018-09-19
Tottenham,1895.8963623,2018-09-20,2018-09-20
Tottenham,1898.22277832,2018-09-21,2018-09-22
Tottenham,1901.68859863,2018-09-23,2018-09-29
Tottenham,1904.80529785,2018-09-30,2018-10-02
Tottenham,1904.73608398,2018-10-03,2018-10-03
Tottenham,1887.52685547,2018-10-04,2018-10-04
Tottenham,1889.37658691,2018-10-05,2018-10-06
Tottenham,1890.48962402,2018-10-07,2018-10-20
Tottenham,1894.46166992,2018-10-21,2018-10-23
Tottenham,1895.04016113,2018-10-24,2018-10-24
Tottenham,1892.49291992,2018-10-25,2018-10-25
Tottenham,1895.11303711,2018-10-26,2018-10-28
Tottenham,1895.11303711,2018-10-29,2018-10-29
Tottenham,1887.91430664,2018-10-30,2018-11-03
Tottenham,1891.2557373,2018-11-04,2018-11-06
Tottenham,1888.58447266,2018-11-07,2018-11-07
Tottenham,1894.5769043,2018-11-08,2018-11-08
Tottenham,1893.38867188,2018-11-09,2018-11-10
Tottenham,1897.19433594,2018-11-11,2018-11-24
Tottenham,1905.4375,2018-11-25,2018-11-27
Tottenham,1904.6776123,2018-11-28,2018-11-28
Tottenham,1907.26708984,2018-11-29,2018-11-29
Tottenham,1909.84069824,2018-11-30,2018-12-02
Tottenham,1898.4765625,2018-12-03,2018-12-05
Tottenham,1900.88195801,2018-12-06,2018-12-08
Tottenham,1907.27770996,2018-12-09,2018-12-11
Tottenham,1915.85778809,2018-12-12,2018-12-12
Tottenham,1913.83911133,2018-12-13,2018-12-13
Tottenham,1911.63012695,2018-12-14,2018-12-15
Tottenham,1913.24035645,2018-12-16,2018-12-23
Tottenham,1921.72131348,2018-12-24,2018-12-26
Tottenham,1926.15759277,2018-12-27,2018-12-29
Tottenham,1904.3137207,2018-12-30,2019-01-01
Tottenham,1908.33410645,2019-01-02,2019-01-06
Tottenham,1908.33410645,2019-01-07,2019-01-12
Tottenham,1908.33410645,2019-01-13,2019-01-13
Tottenham,1897.57263184,2019-01-14,2019-01-20
Tottenham,1899.91357422,2019-01-21,2019-01-30
Tottenham,1902.0189209,2019-01-31,2019-02-02
Tottenham,1903.97949219,2019-02-03,2019-02-03
Tottenham,1903.97949219,2019-02-04,2019-02-10
Tottenham,1907.33691406,2019-02-11,2019-02-12
Tottenham,1903.36682129,2019-02-13,2019-02-13
Tottenham,1919.04174805,2019-02-14,2019-02-14
Tottenham,1918.02404785,2019-02-15,2019-02-19
Tottenham,1917.39221191,2019-02-20,2019-02-20
Tottenham,1918.04577637,2019-02-21,2019-02-21
Tottenham,1921.0345459,2019-02-22,2019-02-23
Tottenham,1907.77807617,2019-02-24,2019-02-27
Tottenham,1895.67883301,2019-02-28,2019-03-02
Tottenham,1892.70874023,2019-03-03,2019-03-05
Tottenham,1898.69421387,2019-03-06,2019-03-06
Tottenham,1905.54882812,2019-03-07,2019-03-07
Tottenham,1903.76269531,2019-03-08,2019-03-09
Tottenham,1891.03137207,2019-03-10,2019-03-12
Tottenham,1891.5378418,2019-03-13,2019-03-13
Tottenham,1896.9284668,2019-03-14,2019-03-14
Tottenham,1903.10632324,2019-03-15,2019-03-16
Tottenham,1903.10632324,2019-03-17,2019-03-31
Tottenham,1898.61083984,2019-04-01,2019-04-02
Tottenham,1898.61083984,2019-04-03,2019-04-03
Tottenham,1902.16247559,2019-04-04,2019-04-06
Tottenham,1902.16247559,2019-04-07,2019-04-09
Tottenham,1909.64685059,2019-04-10,2019-04-10
Tottenham,1908.14489746,2019-04-11,2019-04-11
Tottenham,1912.01721191,2019-04-12,2019-04-13
Tottenham,1913.61108398,2019-04-14,2019-04-16
Tottenham,1911.79492188,2019-04-17,2019-04-17
Tottenham,1918.34191895,2019-04-18,2019-04-18
Tottenham,1920.52038574,2019-04-19,2019-04-20
Tottenham,1916.35754395,2019-04-21,2019-04-23
Tottenham,1917.69677734,2019-04-24,2019-04-27
Tottenham,1902.99108887,2019-04-28,2019-04-30
Tottenham,1888.82666016,2019-05-01,2019-05-01
Tottenham,1884.87390137,2019-05-02,2019-05-02
Tottenham,1888.15014648,2019-05-03,2019-05-04
Tottenham,1876.61486816,2019-05-05,2019-05-07
Tottenham,1884.44836426,2019-05-08,2019-05-08
Tottenham,1905.78149414,2019-05-09,2019-05-09
Tottenham,1906.6829834,2019-05-10,2019-05-12
Tottenham,1901.27246094,2019-05-13,2019-06-01
Tottenham,1894.80664062,2019-06-02,2019-07-25
Tottenham,1894.81811523,2019-07-26,2019-08-01
Tottenham,1894.82531738,2019-08-02,2019-08-08
Tottenham,1894.99633789,2019-08-09,2019-08-10
Tottenham,1897.30895996,2019-08-11,2019-08-15
Tottenham,1897.41186523,2019-08-16,2019-08-17
Tottenham,1902.89489746,2019-08-18,2019-08-22
Tottenham,1905.86303711,2019-08-23,2019-08-25
Tottenham,1891.64770508,2019-08-26,2019-08-29
Tottenham,1892.83532715,2019-08-30,2019-09-01
Tottenham,1894.2088623,2019-09-02,2019-09-14
Tottenham,1901.33837891,2019-09-15,2019-09-17
Tottenham,1891.84985352,2019-09-18,2019-09-18
Tottenham,1890.51489258,2019-09-19,2019-09-19
Tottenham,1890.74951172,2019-09-20,2019-09-21
Tottenham,1880.5970459,2019-09-22,2019-09-28
Tottenham,1883.08178711,2019-09-29,2019-10-01
Tottenham,1858.39916992,2019-10-02,2019-10-02
Tottenham,1860.71398926,2019-10-03,2019-10-03
Tottenham,1862.49963379,2019-10-04,2019-10-05
Tottenham,1840.6505127,2019-10-06,2019-10-19
Tottenham,1834.35290527,2019-10-20,2019-10-22
Tottenham,1844.55664062,2019-10-23,2019-10-23
Tottenham,1848.60949707,2019-10-24,2019-10-24
Tottenham,1850.55249023,2019-10-25,2019-10-27
Tottenham,1848.20214844,2019-10-28,2019-11-03
Tottenham,1846.78308105,2019-11-04,2019-11-05
Tottenham,1846.08984375,2019-11-06,2019-11-06
Tottenham,1856.90600586,2019-11-07,2019-11-07
Tottenham,1857.83361816,2019-11-08,2019-11-09
Tottenham,1851.82275391,2019-11-10,2019-11-23
Tottenham,1857.84753418,2019-11-24,2019-11-26
Tottenham,1860.77416992,2019-11-27,2019-11-27
Tottenham,1858.0793457,2019-11-28,2019-11-28
Tottenham,1849.00244141,2019-11-29,2019-11-30
Tottenham,1852.06982422,2019-12-01,2019-12-01
Tottenham,1852.06982422,2019-12-02,2019-12-04
Tottenham,1844.1394043,2019-12-05,2019-12-07
Tottenham,1851.10473633,2019-12-08,2019-12-10
Tottenham,1853.29650879,2019-12-11,2019-12-11
Tottenham,1846.97302246,2019-12-12,2019-12-12
Tottenham,1849.09313965,2019-12-13,2019-12-15
Tottenham,1856.41003418,2019-12-16,2019-12-22
Tottenham,1843.15283203,2019-12-23,2019-12-26
Tottenham,1845.86376953,2019-12-27,2019-12-28
Tottenham,1840.8659668,2019-12-29,2020-01-01
Tottenham,1830.16821289,2020-01-02,2020-01-11
Tottenham,1826.59460449,2020-01-12,2020-01-18
Tottenham,1824.20874023,2020-01-19,2020-01-19
Tottenham,1824.20874023,2020-01-20,2020-01-22
Tottenham,1826.54199219,2020-01-23,2020-01-24
Tottenham,1826.54199219,2020-01-25,2020-01-25
Tottenham,1826.54199219,2020-01-26,2020-02-02
Tottenham,1842.43591309,2020-02-03,2020-02-14
Tottenham,1842.43591309,2020-02-15,2020-02-16
Tottenham,1846.37341309,2020-02-17,2020-02-18
Tottenham,1844.03649902,2020-02-19,2020-02-19
Tottenham,1832.34863281,2020-02-20,2020-02-20
Tottenham,1838.09423828,2020-02-21,2020-02-22
Tottenham,1831.08666992,2020-02-23,2020-02-25
Tottenham,1828.18395996,2020-02-26,2020-02-26
Tottenham,1830.03161621,2020-02-27,2020-02-27
Tottenham,1828.44250488,2020-02-28,2020-03-01
Tottenham,1817.88793945,2020-03-02,2020-03-07
Tottenham,1816.4029541,2020-03-08,2020-03-10
Tottenham,1801.09130859,2020-03-11,2020-03-11
Tottenham,1794.08276367,2020-03-12,2020-03-12
Tottenham,1798.41308594,2020-03-13,2020-06-12
Tottenham,1798.41308594,2020-06-13,2020-06-17
Tottenham,1798.41308594,2020-06-18,2020-06-19
Tottenham,1798.44421387,2020-06-20,2020-06-20
Tottenham,1798.44421387,2020-06-21,2020-06-23
Tottenham,1803.88122559,2020-06-24,2020-06-24
Tottenham,1803.88122559,2020-06-25,2020-06-26
Tottenham,1803.88122559,2020-06-27,2020-06-30
Tottenham,1803.88122559,2020-07-01,2020-07-01
Tottenham,1803.88122559,2020-07-02,2020-07-02
Tottenham,1789.67907715,2020-07-03,2020-07-06
Tottenham,1795.57617188,2020-07-07,2020-07-09
Tottenham,1791.69165039,2020-07-10,2020-07-12
Tottenham,1799.15148926,2020-07-13,2020-07-15
Tottenham,1808.64135742,2020-07-16,2020-07-19
Tottenham,1819.37927246,2020-07-20,2020-07-26
Tottenham,1816.74682617,2020-07-27,2020-08-01
Tottenham,1816.74682617,2020-08-02,2020-08-05
Tottenham,1815.75708008,2020-08-06,2020-08-06
Tottenham,1818.13452148,2020-08-07,2020-08-07
Tottenham,1819.36950684,2020-08-08,2020-08-08
Tottenham,1819.0057373,2020-08-09,2020-08-10
Tottenham,1819.67199707,2020-08-11,2020-08-11
Tottenham,1817.35998535,2020-08-12,2020-08-15
Tottenham,1810.64257812,2020-08-16,2020-08-16
Tottenham,1807.71264648,2020-08-17,2020-09-13
Tottenham,1796.33752441,2020-09-14,2020-09-17
Tottenham,1797.82580566,2020-09-18,2020-09-20
Tottenham,1809.69445801,2020-09-21,2020-09-24
Tottenham,1811.04370117,2020-09-25,2020-09-27
Tottenham,1806.49121094,2020-09-28,2020-10-01
Tottenham,1809.74047852,2020-10-02,2020-10-04
Tottenham,1831.92260742,2020-10-05,2020-10-18
Tottenham,1827.81762695,2020-10-19,2020-10-20
Tottenham,1831.50671387,2020-10-21,2020-10-21
Tottenham,1834.03723145,2020-10-22,2020-10-22
Tottenham,1842.87402344,2020-10-23,2020-10-26
Tottenham,1847.97192383,2020-10-27,2020-10-27
Tottenham,1850.25280762,2020-10-28,2020-10-28
Tottenham,1857.5546875,2020-10-29,2020-10-29
Tottenham,1841.12817383,2020-10-30,2020-10-31
Tottenham,1841.12817383,2020-11-01,2020-11-01
Tottenham,1844.62438965,2020-11-02,2020-11-03
Tottenham,1849.28149414,2020-11-04,2020-11-04
Tottenham,1846.15344238,2020-11-05,2020-11-05
Tottenham,1853.67468262,2020-11-06,2020-11-07
Tottenham,1853.67468262,2020-11-08,2020-11-08
Tottenham,1856.58508301,2020-11-09,2020-11-21
Tottenham,1871.29785156,2020-11-22,2020-11-24
Tottenham,1873.34875488,2020-11-25,2020-11-25
Tottenham,1868.14660645,2020-11-26,2020-11-26
Tottenham,1871.95007324,2020-11-27,2020-11-28
Tottenham,1871.95007324,2020-11-29,2020-11-29
Tottenham,1873.08532715,2020-11-30,2020-12-01
Tottenham,1872.66320801,2020-12-02,2020-12-02
Tottenham,1874.16223145,2020-12-03,2020-12-03
Tottenham,1864.92089844,2020-12-04,2020-12-05
Tottenham,1864.92089844,2020-12-06,2020-12-06
Tottenham,1873.03088379,2020-12-07,2020-12-08
Tottenham,1868.46887207,2020-12-09,2020-12-09
Tottenham,1867.05517578,2020-12-10,2020-12-10
Tottenham,1871.13952637,2020-12-11,2020-12-13
Tottenham,1867.26586914,2020-12-14,2020-12-15
Tottenham,1867.26586914,2020-12-16,2020-12-16
Tottenham,1862.59741211,2020-12-17,2020-12-17
Tottenham,1862.59741211,2020-12-18,2020-12-19
Tottenham,1862.59741211,2020-12-20,2020-12-20
